"itemid","itemname","uniquebidders","highestbidderid","highestbiddername","highestbidamount"
5,"Designer Handbag","2",17,"Elijah Scott","260.00"
6,"Gold Coin","2",21,"Lucas Nelson","1200.00"
7,"Gaming Laptop","2",25,"Jack Roberts","1350.00"
8,"Smartphone","2",29,"Samuel Gonzalez","900.00"
9,"Handmade Quilt","2",33,"David Allen","130.00"
10,"Collectible Doll","2",37,"Owen Baker","280.00"
11,"Blu-ray Movie Collection","2",1,"John Doe","100.00"
12,"Signed Movie Poster","2",5,"Matthew Wilson","170.00"
13,"Skincare Set","2",9,"Benjamin Thomas","220.00"
14,"Garden Tools Set","2",13,"Alexander Lee","160.00"
15,"Diamond Necklace","2",17,"Elijah Scott","3300.00"
